Name	Installed_Size	Depends_On	Full_Size	Used_By	Shared_Size	Relative_Size
gnutls	5.8MiB	43	277.9MiB	247	23.8KiB	6.1MiB
mdcat	5.9MiB	7	196.4MiB	0	0.0	6.0MiB
shaderc	348.5KiB	8	211.3MiB	4	87.1KiB	6.0MiB
pacman	4.7MiB	75	391.1MiB	9	534.0KiB	6.0MiB
dconf-editor	2.9MiB	165	841.7MiB	0	0.0	6.0MiB
qt5-webchannel	232.5KiB	151	800.0MiB	6	38.8KiB	6.0MiB
rav1e	5.8MiB	6	189.0MiB	29	204.6KiB	5.9MiB
libnma	1.7MiB	175	872.1MiB	8	213.9KiB	5.9MiB
xfsprogs	5.5MiB	37	277.1MiB	20	279.6KiB	5.8MiB
mugshot	780.3KiB	175	961.2MiB	0	0.0	5.8MiB
alacritty	5.5MiB	35	251.7MiB	0	0.0	5.8MiB
harfbuzz	5.5MiB	20	227.4MiB	272	20.8KiB	5.7MiB
xorg-server	3.7MiB	127	674.6MiB	3	1.2MiB	5.7MiB
dbus-python	5.4MiB	39	257.1MiB	4	1.4MiB	5.7MiB
cinnamon-desktop	1.3MiB	180	913.2MiB	2	668.8KiB	5.7MiB
qtile-git	3.8MiB	65	398.5MiB	0	0.0	5.7MiB
gtk-engines	1.2MiB	96	453.6MiB	1	1.2MiB	5.6MiB
xmlsec	4.9MiB	52	351.8MiB	2	2.4MiB	5.6MiB
polybar	4.2MiB	119	416.6MiB	0	0.0	5.6MiB
libsoup	4.9MiB	61	369.5MiB	134	37.7KiB	5.5MiB
haskell-hsyaml	4.0MiB	17	406.4MiB	2	2.0MiB	5.5MiB
base	0.0	118	536.6MiB	0	0.0	5.5MiB
python-pyfiglet	4.7MiB	31	280.6MiB	1	4.7MiB	5.5MiB
haskell-conduit	2.3MiB	27	425.4MiB	6	393.4KiB	5.4MiB
pulseaudio-bluetooth	280.8KiB	141	792.2MiB	8	35.1KiB	5.4MiB
ttf-ms-fonts	5.4MiB	0	5.4MiB	0	0.0	5.4MiB
spirv-tools	5.2MiB	6	188.5MiB	5	1.0MiB	5.4MiB
colord-gtk	47.8KiB	171	910.1MiB	1	47.8KiB	5.4MiB
haskell-x509	1.7MiB	25	425.0MiB	7	245.7KiB	5.3MiB
haskell-http-client	1.8MiB	38	416.4MiB	2	905.6KiB	5.3MiB
bat	4.2MiB	17	214.7MiB	0	0.0	5.3MiB
haskell-blaze-html	3.6MiB	19	407.1MiB	5	746.0KiB	5.3MiB
granite	1.5MiB	166	842.2MiB	1	1.5MiB	5.3MiB
antlr4-runtime	5.1MiB	6	188.3MiB	1	5.1MiB	5.2MiB
lynx	5.0MiB	9	200.2MiB	0	0.0	5.2MiB
btrfs-progs	5.0MiB	17	208.9MiB	20	257.7KiB	5.2MiB
podofo	4.6MiB	31	251.3MiB	1	4.6MiB	5.2MiB
nss	4.9MiB	42	281.6MiB	77	64.5KiB	5.2MiB
haskell-aeson-pretty	173.5KiB	46	446.1MiB	2	86.8KiB	5.2MiB
ttf-roboto	5.2MiB	0	5.2MiB	0	0.0	5.2MiB
libglvnd	3.7MiB	77	556.9MiB	217	17.4KiB	5.2MiB
haskell-conduit-extra	912.7KiB	39	436.0MiB	5	182.5KiB	5.1MiB
glava	164.4KiB	153	760.8MiB	0	0.0	5.1MiB
e2fsprogs	4.9MiB	10	201.9MiB	652	7.7KiB	5.1MiB
haskell-ipynb	795.7KiB	46	444.7MiB	1	795.7KiB	5.1MiB
linux-api-headers	5.0MiB	0	5.0MiB	1434	3.6KiB	5.0MiB
vte3	1.9MiB	166	840.7MiB	4	474.4KiB	5.0MiB
qt5-sensors	934.3KiB	150	777.1MiB	2	467.1KiB	5.0MiB
pixterm	5.0MiB	0	5.0MiB	0	0.0	5.0MiB
zathura-djvu	27.2KiB	169	843.0MiB	0	0.0	5.0MiB
haskell-quickcheck	3.4MiB	20	407.6MiB	6	576.6KiB	4.9MiB
haskell-regex-tdfa	3.3MiB	18	406.0MiB	1	3.3MiB	4.9MiB
abseil-cpp	4.9MiB	0	4.9MiB	1	4.9MiB	4.9MiB
ntp	4.5MiB	27	290.5MiB	0	0.0	4.9MiB
python-lxml	4.2MiB	31	329.8MiB	2	2.1MiB	4.9MiB
libappindicator-gtk2	82.3KiB	99	453.1MiB	0	0.0	4.8MiB
gsettings-desktop-schemas	4.6MiB	19	223.6MiB	142	33.1KiB	4.8MiB
sdl2_image	145.8KiB	92	680.2MiB	3	48.6KiB	4.8MiB
gsl	4.7MiB	5	64.2MiB	2	2.4MiB	4.8MiB
python-cryptography	4.1MiB	28	278.2MiB	2	2.1MiB	4.8MiB
gnome-session	1.4MiB	169	844.2MiB	6	243.9KiB	4.8MiB
gtk-engine-murrine	312.1KiB	96	452.7MiB	1	312.1KiB	4.8MiB
shared-mime-info	4.4MiB	19	269.9MiB	211	21.3KiB	4.7MiB
haskell-unicode-data	3.2MiB	17	405.6MiB	5	665.5KiB	4.7MiB
v4l-utils	4.6MiB	9	190.0MiB	28	166.9KiB	4.7MiB
krb5	4.5MiB	15	215.1MiB	650	7.1KiB	4.7MiB
hwinfo	3.7MiB	35	268.2MiB	1	3.7MiB	4.7MiB
libdbusmenu-gtk2	136.2KiB	97	452.9MiB	1	136.2KiB	4.6MiB
haskell-bifunctors	2.9MiB	24	409.1MiB	15	199.3KiB	4.6MiB
budgie-screensaver	1.0MiB	171	845.2MiB	0	0.0	4.6MiB
libvpx	4.5MiB	6	187.7MiB	26	175.8KiB	4.6MiB
gnome-font-viewer	986.8KiB	168	847.2MiB	0	0.0	4.6MiB
gmime3	3.7MiB	67	332.4MiB	1	3.7MiB	4.6MiB
libindicator-gtk2	97.1KiB	96	452.5MiB	1	97.1KiB	4.6MiB
qt5-imageformats	209.4KiB	155	780.2MiB	1	209.4KiB	4.6MiB
zsh-completions	1.2MiB	28	231.9MiB	0	0.0	4.6MiB
qt5-svg	503.0KiB	150	776.7MiB	7	71.9KiB	4.6MiB
polkit-gnome	340.9KiB	167	903.3MiB	0	0.0	4.5MiB
fortune-mod	4.3MiB	6	65.5MiB	11	404.6KiB	4.5MiB
libqxp	3.5MiB	17	260.1MiB	2	1.8MiB	4.5MiB
intel-ucode	4.5MiB	0	4.5MiB	0	0.0	4.5MiB
python-py7zr	517.4KiB	38	287.4MiB	1	517.4KiB	4.5MiB
xapp	1.1MiB	170	841.6MiB	2	547.6KiB	4.4MiB
gnome-themes-extra	4.4MiB	1	4.6MiB	2	2.2MiB	4.4MiB
openssh	4.2MiB	26	226.1MiB	44	97.4KiB	4.4MiB
zsh-fast-syntax-highlighting	1.0MiB	28	231.8MiB	0	0.0	4.4MiB
bluez-utils	3.7MiB	81	376.3MiB	0	0.0	4.4MiB
libosinfo	2.7MiB	65	379.8MiB	2	1.4MiB	4.4MiB
lirc	3.9MiB	46	254.5MiB	2	1.9MiB	4.4MiB
libgexiv2	1.1MiB	61	365.5MiB	4	290.6KiB	4.4MiB
archiso	174.8KiB	93	423.3MiB	0	0.0	4.4MiB
qt5-websockets	299.1KiB	150	776.5MiB	1	299.1KiB	4.4MiB
liborcus	3.1MiB	31	327.3MiB	2	1.5MiB	4.3MiB
glew	2.8MiB	84	563.4MiB	2	1.4MiB	4.3MiB
betterlockscreen	29.8KiB	121	473.8MiB	0	0.0	4.3MiB
haskell-attoparsec	2.6MiB	22	408.0MiB	14	193.3KiB	4.3MiB
haskell-vector-algorithms	2.2MiB	19	416.3MiB	8	281.9KiB	4.3MiB
libwpg	1.4MiB	22	338.6MiB	4	356.0KiB	4.2MiB
suitesparse	3.4MiB	14	209.3MiB	6	577.4KiB	4.2MiB
sdbus-cpp	4.0MiB	34	235.7MiB	1	4.0MiB	4.2MiB
haskell-x509-validation	330.6KiB	29	425.6MiB	4	82.7KiB	4.2MiB
gnome-screenshot	833.3KiB	166	843.8MiB	0	0.0	4.2MiB
rubberband	1.1MiB	60	361.2MiB	2	554.2KiB	4.2MiB
libpeas	1.0MiB	166	840.7MiB	4	265.4KiB	4.2MiB
python-pytest	2.5MiB	35	276.7MiB	0	0.0	4.2MiB
source-highlight	3.6MiB	16	251.8MiB	2	1.8MiB	4.2MiB
libwmf	3.2MiB	30	252.5MiB	2	1.6MiB	4.2MiB
ttf-liberation	4.2MiB	0	4.2MiB	2	2.1MiB	4.2MiB
haskell-unicode-transforms	2.0MiB	18	407.6MiB	4	511.0KiB	4.1MiB
gtk-vnc	906.1KiB	176	847.5MiB	1	906.1KiB	4.1MiB
pcre2	4.0MiB	11	200.5MiB	268	15.1KiB	4.1MiB
qt5-x11extras	40.9KiB	150	776.2MiB	9	4.5KiB	4.1MiB
screenkey	548.7KiB	170	895.5MiB	0	0.0	4.1MiB
libblockdev	1.5MiB	114	476.0MiB	19	81.3KiB	4.1MiB
libsoup3	3.6MiB	60	320.4MiB	123	30.0KiB	4.1MiB
gnome-logs	962.2KiB	165	839.8MiB	0	0.0	4.1MiB
libva-utils	2.5MiB	79	560.2MiB	0	0.0	4.1MiB
ncurses	3.9MiB	6	187.1MiB	1089	3.7KiB	4.1MiB
clucene	3.5MiB	16	251.7MiB	2	1.7MiB	4.0MiB
grilo	2.9MiB	74	384.6MiB	1	2.9MiB	4.0MiB
mod_dnssd	21.8KiB	56	322.3MiB	1	21.8KiB	4.0MiB
haskell-x509-store	150.1KiB	26	425.2MiB	6	25.0KiB	4.0MiB
poppler-glib	2.8MiB	80	368.5MiB	9	315.6KiB	4.0MiB
bison	2.6MiB	27	298.7MiB	0	0.0	4.0MiB
libhandy0	851.4KiB	165	839.7MiB	1	851.4KiB	4.0MiB
xorg-server-xephyr	2.3MiB	102	599.7MiB	0	0.0	4.0MiB
haskell-x509-system	61.4KiB	27	425.2MiB	3	20.5KiB	4.0MiB
lensfun	3.7MiB	16	220.2MiB	4	952.8KiB	3.9MiB
iana-etc	3.9MiB	0	3.9MiB	1435	2.8KiB	3.9MiB
python-xvfbwrapper	21.6KiB	104	653.3MiB	0	0.0	3.9MiB
gst-plugins-base	988.1KiB	136	716.4MiB	7	141.2KiB	3.9MiB
gspell	742.9KiB	166	839.8MiB	2	371.5KiB	3.9MiB
zeromq	3.3MiB	46	294.8MiB	3	1.1MiB	3.9MiB
gst-plugin-pipewire	123.2KiB	136	711.7MiB	4	30.8KiB	3.9MiB
python-mysql-connector	3.0MiB	26	276.3MiB	0	0.0	3.8MiB
shadow	3.6MiB	26	242.3MiB	271	13.6KiB	3.8MiB
tracker3	3.1MiB	68	386.8MiB	120	26.6KiB	3.8MiB
x264	3.7MiB	6	64.2MiB	19	201.7KiB	3.8MiB
movit	805.3KiB	53	357.0MiB	1	805.3KiB	3.8MiB
gts	687.5KiB	29	348.0MiB	2	343.7KiB	3.8MiB
libgnomekbd	624.3KiB	167	840.0MiB	5	124.9KiB	3.8MiB
zathura	594.8KiB	167	839.8MiB	4	148.7KiB	3.8MiB
ftgl	2.2MiB	86	586.7MiB	1	2.2MiB	3.8MiB
atk	3.6MiB	16	220.1MiB	130	28.1KiB	3.8MiB
libxcb	3.7MiB	8	64.1MiB	370	10.3KiB	3.8MiB
python-pillow	2.9MiB	47	332.5MiB	5	599.4KiB	3.8MiB
libgxps	612.3KiB	166	840.6MiB	1	612.3KiB	3.8MiB
libepubgen	2.8MiB	17	259.4MiB	2	1.4MiB	3.7MiB
xf86-video-intel	2.2MiB	81	559.9MiB	0	0.0	3.7MiB
libabw	2.7MiB	18	268.6MiB	2	1.4MiB	3.7MiB
rasqal	2.7MiB	58	339.8MiB	3	938.4KiB	3.7MiB
python-bowler	317.2KiB	30	274.8MiB	0	0.0	3.7MiB
gnome-autoar	539.5KiB	166	840.5MiB	4	134.9KiB	3.7MiB
mkinitcpio	112.8KiB	86	395.4MiB	3	37.6KiB	3.6MiB
haskell-cmdargs	2.2MiB	17	404.5MiB	3	737.5KiB	3.6MiB
haskell-mime-types	2.2MiB	17	404.5MiB	3	736.0KiB	3.6MiB
redland	1.7MiB	61	346.6MiB	2	860.1KiB	3.6MiB
python-pywayland	2.8MiB	32	326.7MiB	1	2.8MiB	3.6MiB
pcre	3.5MiB	11	200.0MiB	456	7.8KiB	3.6MiB
libdmapsharing	916.1KiB	129	731.9MiB	1	916.1KiB	3.6MiB
xorg-server-xvfb	1.9MiB	100	598.6MiB	1	1.9MiB	3.6MiB
libappindicator-gtk3	351.0KiB	168	839.8MiB	1	351.0KiB	3.6MiB
polkit	1.9MiB	82	436.7MiB	57	33.4KiB	3.6MiB
python-setuptools	3.0MiB	30	275.9MiB	12	252.7KiB	3.5MiB
lxappearance-gtk3	395.3KiB	165	839.2MiB	0	0.0	3.5MiB
python-html5-parser	502.1KiB	33	332.4MiB	1	502.1KiB	3.5MiB
