Name	Installed_Size	Depends_On	Full_Size	Used_By	Shared_Size	Relative_Size
python-xcffib	1.8MiB	33	280.7MiB	4	473.0KiB	2.5MiB
pacman-contrib	103.6KiB	84	480.0MiB	0	0.0	2.5MiB
haskell-ansi-terminal	810.6KiB	18	404.0MiB	3	270.2KiB	2.5MiB
python-dbusmock	468.3KiB	45	314.2MiB	0	0.0	2.5MiB
haskell-th-abstraction	1.0MiB	17	403.3MiB	19	54.0KiB	2.5MiB
toilet	790.7KiB	58	364.3MiB	0	0.0	2.5MiB
parted	2.3MiB	34	234.3MiB	26	88.8KiB	2.5MiB
gd	687.8KiB	50	303.8MiB	8	86.0KiB	2.5MiB
pulseaudio-alsa	0.0	116	477.7MiB	10	0.0	2.5MiB
libtool	2.2MiB	14	220.4MiB	81	28.0KiB	2.4MiB
gtest	2.3MiB	9	198.3MiB	2	1.1MiB	2.4MiB
mjpegtools	2.3MiB	14	201.6MiB	2	1.1MiB	2.4MiB
python-urwid	2.0MiB	25	273.3MiB	2	1003.4KiB	2.4MiB
python-dnspython	1.9MiB	25	273.3MiB	6	331.5KiB	2.4MiB
haskell-hslua-module-system	155.2KiB	22	407.3MiB	1	155.2KiB	2.4MiB
feh	440.5KiB	96	448.1MiB	1	440.5KiB	2.4MiB
haskell-hslua-module-path	257.1KiB	19	405.4MiB	1	257.1KiB	2.4MiB
python-cairocffi	1.1MiB	50	327.4MiB	3	372.6KiB	2.3MiB
haskell-th-lift-instances	194.4KiB	21	415.5MiB	3	64.8KiB	2.3MiB
haskell-colour	878.5KiB	17	403.2MiB	4	219.6KiB	2.3MiB
ragel	2.2MiB	6	185.4MiB	2	1.1MiB	2.3MiB
smartmontools	2.1MiB	33	233.4MiB	0	0.0	2.3MiB
libva	846.1KiB	78	557.7MiB	23	36.8KiB	2.3MiB
haskell-zlib	854.5KiB	18	403.5MiB	11	77.7KiB	2.3MiB
pacutils	490.3KiB	76	391.5MiB	0	0.0	2.3MiB
haskell-asn1-parse	73.1KiB	22	412.2MiB	8	9.1KiB	2.3MiB
python-pyudev	1.4MiB	82	409.8MiB	1	1.4MiB	2.3MiB
libunistring	2.2MiB	5	61.7MiB	398	5.8KiB	2.3MiB
ranger	1.8MiB	25	273.1MiB	0	0.0	2.3MiB
haskell-indexed-traversable	820.1KiB	17	403.1MiB	17	48.2KiB	2.3MiB
haskell-xml	817.6KiB	17	403.1MiB	2	408.8KiB	2.3MiB
ruby-rspec	12.2KiB	27	226.6MiB	2	6.1KiB	2.3MiB
libisoburn	1.7MiB	15	210.6MiB	3	583.2KiB	2.3MiB
gupnp	1.5MiB	67	393.9MiB	4	381.1KiB	2.3MiB
openvpn	1.5MiB	49	293.2MiB	0	0.0	2.3MiB
haskell-blaze-markup	756.5KiB	18	403.5MiB	6	126.1KiB	2.3MiB
haskell-network-uri	765.1KiB	18	403.2MiB	6	127.5KiB	2.2MiB
haskell-time-compat	740.6KiB	20	403.9MiB	12	61.7KiB	2.2MiB
haskell-hslua-module-text	95.9KiB	19	405.3MiB	1	95.9KiB	2.2MiB
haskell-comonad	641.2KiB	22	405.2MiB	16	40.1KiB	2.2MiB
jack2	1.9MiB	41	245.1MiB	29	66.9KiB	2.2MiB
python-fissix	1.7MiB	25	273.1MiB	1	1.7MiB	2.2MiB
libpulse	1.5MiB	92	366.1MiB	64	24.0KiB	2.2MiB
strace	1.8MiB	16	265.5MiB	0	0.0	2.2MiB
ntfs-3g	1.8MiB	46	292.9MiB	0	0.0	2.2MiB
terminus-font	2.2MiB	0	2.2MiB	0	0.0	2.2MiB
bolt	450.5KiB	83	437.1MiB	1	450.5KiB	2.2MiB
tzdata	2.2MiB	0	2.2MiB	1434	1.6KiB	2.2MiB
byobu	303.4KiB	47	298.0MiB	1	303.4KiB	2.2MiB
systemd-libs	2.0MiB	32	231.2MiB	478	4.2KiB	2.2MiB
picom-ibhagwan-git	472.1KiB	88	563.1MiB	0	0.0	2.2MiB
python-css-parser	1.7MiB	25	273.0MiB	1	1.7MiB	2.2MiB
arch-install-scripts	39.2KiB	82	417.6MiB	1	39.2KiB	2.2MiB
cups-pk-helper	353.5KiB	93	452.8MiB	1	353.5KiB	2.1MiB
haskell-scientific	580.4KiB	21	405.3MiB	15	38.7KiB	2.1MiB
python-regex	1.7MiB	25	273.0MiB	1	1.7MiB	2.1MiB
libxt	2.0MiB	14	79.3MiB	103	20.2KiB	2.1MiB
avahi	1.9MiB	41	254.4MiB	194	9.8KiB	2.1MiB
curl	1.8MiB	50	278.8MiB	344	5.3KiB	2.1MiB
ruby-rspec-expectations	769.0KiB	24	224.6MiB	3	256.3KiB	2.1MiB
haskell-http-types	606.1KiB	20	403.6MiB	3	202.0KiB	2.1MiB
libgit2	1.9MiB	15	209.7MiB	3	648.4KiB	2.1MiB
haskell-doclayout	581.0KiB	18	403.2MiB	2	290.5KiB	2.1MiB
libcec	1.3MiB	88	371.9MiB	1	1.3MiB	2.1MiB
libnl	2.0MiB	5	61.5MiB	269	7.7KiB	2.1MiB
gpgme	1.3MiB	66	328.6MiB	35	36.6KiB	2.1MiB
libjpeg-turbo	2.0MiB	5	61.5MiB	278	7.4KiB	2.1MiB
ruby-rspec-mocks	718.4KiB	24	224.6MiB	3	239.5KiB	2.1MiB
libgee	1.9MiB	16	218.4MiB	3	632.8KiB	2.1MiB
haskell-pem	90.5KiB	19	409.5MiB	8	11.3KiB	2.0MiB
virglrenderer	544.6KiB	79	560.7MiB	2	272.3KiB	2.0MiB
haskell-transformers-compat	578.4KiB	17	402.9MiB	20	28.9KiB	2.0MiB
haskell-resourcet	481.8KiB	19	404.6MiB	7	68.8KiB	2.0MiB
haskell-hashable	554.8KiB	18	402.9MiB	34	16.3KiB	2.0MiB
libixion	1.1MiB	30	324.2MiB	3	389.8KiB	2.0MiB
automake	1.6MiB	13	263.8MiB	0	0.0	2.0MiB
haskell-syb	540.0KiB	17	402.9MiB	6	90.0KiB	2.0MiB
xterm	1.0MiB	44	252.6MiB	0	0.0	2.0MiB
python-mechanize	1.1MiB	28	273.9MiB	1	1.1MiB	2.0MiB
haskell-old-time	497.2KiB	18	402.9MiB	2	248.6KiB	2.0MiB
hwdata	2.0MiB	0	2.0MiB	256	7.9KiB	2.0MiB
cairo	1.7MiB	33	248.3MiB	197	8.7KiB	2.0MiB
libimobiledevice	1.5MiB	52	299.4MiB	14	112.9KiB	2.0MiB
haskell-assoc	72.2KiB	25	409.2MiB	14	5.2KiB	2.0MiB
haskell-glob	435.4KiB	19	403.6MiB	1	435.4KiB	1.9MiB
haskell-sha	473.6KiB	17	402.8MiB	1	473.6KiB	1.9MiB
libcolord	1.3MiB	84	379.3MiB	123	10.4KiB	1.9MiB
python-ruamel-yaml	1.1MiB	26	272.8MiB	0	0.0	1.9MiB
ldns	1.9MiB	7	68.7MiB	45	42.6KiB	1.9MiB
python-xlib	1.5MiB	26	272.9MiB	1	1.5MiB	1.9MiB
haskell-typed-process	390.4KiB	21	403.6MiB	6	65.1KiB	1.9MiB
help2man	357.2KiB	31	362.2MiB	0	0.0	1.9MiB
haskell-uuid-types	316.5KiB	21	405.1MiB	12	26.4KiB	1.9MiB
freeglut	399.8KiB	81	557.9MiB	1	399.8KiB	1.9MiB
python-pycparser	1.4MiB	26	273.0MiB	16	88.9KiB	1.9MiB
gl2ps	392.6KiB	79	557.8MiB	1	392.6KiB	1.9MiB
haskell-blaze-builder	403.1KiB	17	402.7MiB	9	44.8KiB	1.9MiB
haskell-regex-base	398.1KiB	17	402.7MiB	2	199.1KiB	1.9MiB
haskell-errors	324.1KiB	19	403.6MiB	3	108.0KiB	1.9MiB
haskell-text-conversions	160.4KiB	22	403.9MiB	2	80.2KiB	1.9MiB
expac	34.1KiB	76	391.1MiB	0	0.0	1.9MiB
adobe-source-code-pro-fonts	1.9MiB	0	1.9MiB	143	13.3KiB	1.9MiB
hwloc	1.5MiB	40	257.2MiB	13	120.2KiB	1.9MiB
glpk	1.7MiB	10	198.7MiB	1	1.7MiB	1.9MiB
libvdpau-va-gl	322.0KiB	80	558.3MiB	0	0.0	1.9MiB
haskell-utf8-string	375.2KiB	17	402.7MiB	3	125.1KiB	1.8MiB
rubygems	953.6KiB	18	220.6MiB	19	50.2KiB	1.8MiB
glu	358.8KiB	78	557.2MiB	6	59.8KiB	1.8MiB
haskell-base-compat-batteries	333.2KiB	18	403.0MiB	12	27.8KiB	1.8MiB
freetype2	1.6MiB	20	227.4MiB	272	6.0KiB	1.8MiB
haskell-safe	355.4KiB	17	402.7MiB	8	44.4KiB	1.8MiB
reflector-nomirrorlist	491.0	75	391.1MiB	9	54.6	1.8MiB
python-html5lib	1.3MiB	27	272.8MiB	3	458.5KiB	1.8MiB
pipewire-media-session	445.0KiB	61	259.3MiB	6	74.2KiB	1.8MiB
rtkit	85.3KiB	83	436.8MiB	17	5.0KiB	1.8MiB
libxaw	1.7MiB	18	81.8MiB	5	345.2KiB	1.8MiB
haskell-tagged	341.6KiB	17	402.7MiB	18	19.0KiB	1.8MiB
haskell-diff	341.4KiB	17	402.7MiB	1	341.4KiB	1.8MiB
haskell-async	319.2KiB	19	403.2MiB	12	26.6KiB	1.8MiB
haskell-base-compat	327.7KiB	17	402.6MiB	13	25.2KiB	1.8MiB
spandsp	1.6MiB	15	206.5MiB	2	824.7KiB	1.8MiB
haskell-distributive	276.1KiB	19	403.2MiB	17	16.2KiB	1.8MiB
python-mako	699.1KiB	33	277.1MiB	1	699.1KiB	1.8MiB
haskell-base-orphans	287.1KiB	17	402.6MiB	19	15.1KiB	1.8MiB
procps-ng	1.5MiB	33	232.8MiB	17	92.2KiB	1.7MiB
tlp	454.6KiB	55	362.7MiB	0	0.0	1.7MiB
haskell-dlist	270.4KiB	17	402.6MiB	15	18.0KiB	1.7MiB
haskell-th-lift	215.5KiB	18	403.5MiB	4	53.9KiB	1.7MiB
wpebackend-fdo	127.9KiB	85	586.7MiB	18	7.1KiB	1.7MiB
upower	900.2KiB	89	382.9MiB	11	81.8KiB	1.7MiB
recode	1.7MiB	5	61.1MiB	12	143.7KiB	1.7MiB
thin-provisioning-tools	1.6MiB	8	185.2MiB	21	76.8KiB	1.7MiB
speedometer	39.6KiB	28	275.5MiB	1	39.6KiB	1.7MiB
volume_key	806.0KiB	73	338.5MiB	20	40.3KiB	1.7MiB
taglib	1.7MiB	6	61.4MiB	6	286.2KiB	1.7MiB
libtheora	1.7MiB	6	61.6MiB	28	61.1KiB	1.7MiB
wikiquote-fortune	51.2KiB	52	340.4MiB	0	0.0	1.7MiB
libinput	1.0MiB	85	374.9MiB	70	14.9KiB	1.7MiB
haskell-data-fix	205.4KiB	19	403.1MiB	12	17.1KiB	1.7MiB
libheif	832.0KiB	9	212.7MiB	20	41.6KiB	1.7MiB
python-notify2	64.8KiB	40	257.2MiB	0	0.0	1.7MiB
vorbis-tools	741.7KiB	98	369.4MiB	1	741.7KiB	1.7MiB
alsa-lib	1.6MiB	7	61.6MiB	72	23.1KiB	1.7MiB
python-gobject	1.1MiB	29	292.3MiB	13	88.3KiB	1.7MiB
exa	854.4KiB	16	210.5MiB	0	0.0	1.7MiB
python-beautifulsoup4	1.0MiB	26	272.7MiB	1	1.0MiB	1.7MiB
zxing-cpp	1.5MiB	6	184.7MiB	4	385.7KiB	1.7MiB
haskell-splitmix	180.0KiB	17	402.5MiB	23	7.8KiB	1.7MiB
openal	1.5MiB	6	184.7MiB	6	256.8KiB	1.7MiB
haskell-split	172.2KiB	17	402.5MiB	9	19.1KiB	1.6MiB
rofi	975.4KiB	60	338.8MiB	0	0.0	1.6MiB
jemalloc	1.6MiB	5	61.0MiB	3	545.3KiB	1.6MiB
t1lib	1.2MiB	19	82.9MiB	1	1.2MiB	1.6MiB
diffutils	1.5MiB	9	197.5MiB	5	301.8KiB	1.6MiB
haskell-base64-bytestring	158.3KiB	17	402.5MiB	8	19.8KiB	1.6MiB
haskell-case-insensitive	141.6KiB	19	403.0MiB	7	20.2KiB	1.6MiB
haskell-file-embed	155.0KiB	17	402.5MiB	2	77.5KiB	1.6MiB
haskell-temporary	66.4KiB	19	404.3MiB	3	22.1KiB	1.6MiB
libyuv	1.5MiB	7	186.7MiB	10	149.9KiB	1.6MiB
libbluray	1.2MiB	26	279.1MiB	30	41.9KiB	1.6MiB
haskell-cookie	131.3KiB	18	402.5MiB	3	43.8KiB	1.6MiB
haskell-old-locale	131.1KiB	17	402.5MiB	6	21.8KiB	1.6MiB
libgcrypt	1.4MiB	10	198.5MiB	484	3.0KiB	1.6MiB
libva-vdpau-driver	101.8KiB	79	557.2MiB	0	0.0	1.6MiB
python-cffi	1.0MiB	27	274.0MiB	15	69.8KiB	1.6MiB
libsamplerate	1.6MiB	5	61.0MiB	32	49.7KiB	1.6MiB
ruby-psych	632.0KiB	20	221.4MiB	10	63.2KiB	1.6MiB
libsecret	1.2MiB	57	302.1MiB	58	20.5KiB	1.6MiB
haskell-integer-logarithms	112.8KiB	17	402.4MiB	16	7.1KiB	1.6MiB
sysstat	1.6MiB	1	2.1MiB	0	0.0	1.6MiB
haskell-appar	111.4KiB	17	402.4MiB	4	27.8KiB	1.6MiB
mesa-utils	101.3KiB	78	557.0MiB	0	0.0	1.6MiB
egl-wayland	81.2KiB	79	557.0MiB	0	0.0	1.6MiB
haskell-th-compat	98.9KiB	17	402.4MiB	7	14.1KiB	1.6MiB
haskell-base16-bytestring	81.1KiB	17	402.4MiB	3	27.0KiB	1.6MiB
haskell-unliftio-core	79.8KiB	17	402.4MiB	9	8.9KiB	1.6MiB
ccache	1.2MiB	14	201.5MiB	0	0.0	1.6MiB
libappimage	479.5KiB	59	368.1MiB	1	479.5KiB	1.6MiB
haskell-data-default	15.1KiB	23	402.8MiB	2	7.5KiB	1.6MiB
perl-locale-gettext	29.5KiB	30	361.9MiB	1	29.5KiB	1.6MiB
findutils	1.4MiB	9	197.4MiB	355	4.0KiB	1.5MiB
haskell-byteorder	63.3KiB	17	402.4MiB	4	15.8KiB	1.5MiB
apr	1.2MiB	44	291.8MiB	6	196.3KiB	1.5MiB
haskell-erf	60.4KiB	17	402.4MiB	7	8.6KiB	1.5MiB
haskell-data-default-class	55.7KiB	17	402.4MiB	15	3.7KiB	1.5MiB
libcroco	1.2MiB	19	266.7MiB	11	110.6KiB	1.5MiB
haskell-digest	51.0KiB	18	402.7MiB	2	25.5KiB	1.5MiB
mdadm	927.0KiB	78	354.5MiB	20	46.3KiB	1.5MiB
exempi	1.4MiB	8	185.3MiB	3	470.0KiB	1.5MiB
haskell-data-default-instances-old-locale	14.7KiB	19	402.5MiB	3	4.9KiB	1.5MiB
geocode-glib	878.1KiB	63	371.3MiB	13	67.5KiB	1.5MiB
haskell-data-default-instances-dlist	14.9KiB	19	402.7MiB	3	5.0KiB	1.5MiB
haskell-byteable	33.0KiB	17	402.4MiB	5	6.6KiB	1.5MiB
vcdimager	1.1MiB	16	247.8MiB	0	0.0	1.5MiB
ruby-rspec-support	256.4KiB	22	223.6MiB	6	42.7KiB	1.5MiB
eglexternalplatform	17.3KiB	78	556.9MiB	1	17.3KiB	1.5MiB
haskell-data-default-instances-containers	16.5KiB	18	402.4MiB	3	5.5KiB	1.5MiB
intel-gmmlib	1.3MiB	6	184.6MiB	1	1.3MiB	1.5MiB
lpsolve	1.5MiB	5	60.9MiB	2	742.6KiB	1.5MiB
libfdk-aac	1.5MiB	0	1.5MiB	15	101.8KiB	1.5MiB
haskell-ghc-bignum-orphans	9.1KiB	17	402.3MiB	35	267.0	1.5MiB
rest	854.8KiB	62	370.3MiB	119	7.2KiB	1.5MiB
libvorbis	1.4MiB	6	61.3MiB	78	18.9KiB	1.5MiB
pahole	878.6KiB	57	337.7MiB	2	439.3KiB	1.5MiB
tcpdump	1.2MiB	37	236.5MiB	0	0.0	1.5MiB
pipewire-alsa	1.2KiB	62	259.3MiB	0	0.0	1.5MiB
mpg123	1.2MiB	18	223.7MiB	10	119.3KiB	1.5MiB
libgtop	1.3MiB	17	217.8MiB	2	640.7KiB	1.5MiB
libinstpatch	1.2MiB	23	223.3MiB	5	240.7KiB	1.5MiB
zvbi	1.2MiB	17	214.5MiB	2	631.1KiB	1.4MiB
archlinux-keyring	1.4MiB	0	1.4MiB	10	147.4KiB	1.4MiB
libxmlb	1.2MiB	18	219.4MiB	2	623.9KiB	1.4MiB
ruby-tins	480.8KiB	19	221.1MiB	3	160.3KiB	1.4MiB
xorgproto	1.4MiB	0	1.4MiB	350	4.2KiB	1.4MiB
babl	1.2MiB	16	206.8MiB	4	313.2KiB	1.4MiB
python-pyparsing	956.3KiB	25	272.3MiB	17	56.3KiB	1.4MiB
dav1d	1.4MiB	5	60.8MiB	29	47.9KiB	1.4MiB
python-distlib	952.0KiB	25	272.3MiB	1	952.0KiB	1.4MiB
lua	1.2MiB	8	189.1MiB	5	248.3KiB	1.4MiB
python-click	915.6KiB	25	272.2MiB	1	915.6KiB	1.4MiB
libtorrent	1.3MiB	6	68.1MiB	0	0.0	1.4MiB
ruby-rainbow	103.0KiB	22	223.4MiB	2	51.5KiB	1.4MiB
python-requests	464.9KiB	28	275.2MiB	6	77.5KiB	1.3MiB
pangomm	497.9KiB	42	259.4MiB	11	45.3KiB	1.3MiB
libarchive	1.1MiB	20	228.3MiB	49	23.1KiB	1.3MiB
spice	1.1MiB	22	229.1MiB	2	558.8KiB	1.3MiB
libavif	326.5KiB	17	223.2MiB	9	36.3KiB	1.3MiB
libwacom	654.2KiB	82	373.6MiB	73	9.0KiB	1.3MiB
ruby-manpages	54.1KiB	22	223.4MiB	1	54.1KiB	1.3MiB
fontconfig	1.1MiB	22	228.8MiB	246	4.4KiB	1.3MiB
aribb25	90.8KiB	82	408.7MiB	0	0.0	1.3MiB
python-dateutil	835.7KiB	26	272.2MiB	1	835.7KiB	1.3MiB
libcanberra	437.6KiB	100	374.5MiB	19	23.0KiB	1.3MiB
libsigc++	1.1MiB	6	184.4MiB	16	72.0KiB	1.3MiB
flex	971.0KiB	10	197.5MiB	0	0.0	1.3MiB
ruby-diff-lcs	318.7KiB	19	220.9MiB	5	63.7KiB	1.3MiB
libnewt	289.1KiB	39	240.5MiB	4	72.3KiB	1.3MiB
gupnp-igd	115.9KiB	68	394.0MiB	3	38.6KiB	1.3MiB
jasper	1.2MiB	6	62.7MiB	9	137.0KiB	1.3MiB
atkmm	545.7KiB	19	227.5MiB	11	49.6KiB	1.3MiB
apr-util	681.2KiB	46	292.9MiB	5	136.2KiB	1.2MiB
ca-certificates-mozilla	950.2KiB	42	270.9MiB	348	2.7KiB	1.2MiB
libcups	836.0KiB	57	307.5MiB	186	4.5KiB	1.2MiB
libwebp	1.0MiB	17	206.8MiB	66	16.2KiB	1.2MiB
gestures	57.8KiB	94	432.2MiB	0	0.0	1.2MiB
ruby-term-ansicolor	118.7KiB	20	221.2MiB	2	59.4KiB	1.2MiB
libevent	1.2MiB	6	67.9MiB	20	60.0KiB	1.2MiB
dunst	248.2KiB	112	466.1MiB	0	0.0	1.2MiB
python-markdown	740.7KiB	27	272.2MiB	6	123.5KiB	1.2MiB
libde265	1.1MiB	6	184.3MiB	23	47.0KiB	1.2MiB
libsndfile	1020.1KiB	12	188.9MiB	74	13.8KiB	1.2MiB
ruby-reline	262.3KiB	18	220.6MiB	19	13.8KiB	1.2MiB
pcsclite	307.3KiB	81	408.6MiB	1	307.3KiB	1.2MiB
lua53	1.0MiB	8	188.9MiB	5	214.5KiB	1.2MiB
flac	1.0MiB	7	184.7MiB	75	14.3KiB	1.2MiB
gsound	278.3KiB	104	393.7MiB	2	139.2KiB	1.2MiB
ruby-irb	247.1KiB	18	220.6MiB	19	13.0KiB	1.2MiB
python-feedparser	574.9KiB	29	320.9MiB	1	574.9KiB	1.2MiB
phodav	227.9KiB	96	450.6MiB	2	113.9KiB	1.2MiB
audit	1015.9KiB	17	216.2MiB	499	2.0KiB	1.2MiB
python-zeroconf	681.2KiB	28	272.2MiB	1	681.2KiB	1.2MiB
tmux	969.2KiB	10	196.6MiB	2	484.6KiB	1.2MiB
libgpg-error	1.0MiB	9	197.1MiB	487	2.1KiB	1.2MiB
libmtp	970.8KiB	34	232.4MiB	4	242.7KiB	1.2MiB
python-urllib3	715.3KiB	25	272.0MiB	7	102.2KiB	1.2MiB
dbus	965.0KiB	34	232.6MiB	309	3.1KiB	1.2MiB
python-cachecontrol	105.3KiB	30	275.6MiB	1	105.3KiB	1.2MiB
unixodbc	913.1KiB	15	221.3MiB	1	913.1KiB	1.2MiB
json-glib	970.2KiB	16	217.5MiB	130	7.5KiB	1.2MiB
python-svgwrite	637.2KiB	26	272.9MiB	1	637.2KiB	1.1MiB
gmp	1006.2KiB	9	197.0MiB	585	1.7KiB	1.1MiB
ruby-stringio	176.9KiB	19	220.8MiB	11	16.1KiB	1.1MiB
python-dbus-next	599.7KiB	42	307.0MiB	0	0.0	1.1MiB
python-idna	673.4KiB	25	272.0MiB	7	96.2KiB	1.1MiB
perl-xml-parser	440.3KiB	32	264.3MiB	2	220.2KiB	1.1MiB
sdl	1.0MiB	13	77.1MiB	3	353.2KiB	1.1MiB
rsync	579.8KiB	24	294.0MiB	3	193.3KiB	1.1MiB
orc	1.1MiB	5	60.5MiB	48	23.0KiB	1.1MiB
mpfr	965.9KiB	10	198.0MiB	56	17.2KiB	1.1MiB
nettle	962.0KiB	10	198.0MiB	256	3.8KiB	1.1MiB
python-typed-ast	639.0KiB	25	272.0MiB	1	639.0KiB	1.1MiB
libxkbcommon	778.6KiB	14	252.6MiB	180	4.3KiB	1.1MiB
zimg	962.8KiB	6	184.2MiB	19	50.7KiB	1.1MiB
xz	950.2KiB	9	197.0MiB	588	1.6KiB	1.1MiB
libcdio	949.3KiB	8	188.2MiB	17	55.8KiB	1.1MiB
wayland	796.1KiB	15	246.6MiB	220	3.6KiB	1.1MiB
ldb	872.3KiB	11	61.8MiB	4	218.1KiB	1.1MiB
ruby-optimist	114.0KiB	19	220.7MiB	1	114.0KiB	1.1MiB
xcolor	896.1KiB	16	200.6MiB	0	0.0	1.1MiB
lua52	937.0KiB	8	188.8MiB	1	937.0KiB	1.1MiB
lame	936.6KiB	7	188.1MiB	24	39.0KiB	1.1MiB
nftables	921.6KiB	13	198.4MiB	249	3.7KiB	1.1MiB
python-setuptools-scm	217.7KiB	32	276.2MiB	0	0.0	1.1MiB
l-smash	1.0MiB	5	60.5MiB	20	51.9KiB	1.1MiB
libmanette	389.0KiB	83	373.6MiB	18	21.6KiB	1.1MiB
libinput-gestures	79.3KiB	90	429.8MiB	1	79.3KiB	1.1MiB
libgudev	395.1KiB	81	373.0MiB	119	3.3KiB	1.1MiB
device-mapper	850.1KiB	33	232.1MiB	253	3.4KiB	1.0MiB
seabios	1.0MiB	0	1.0MiB	2	537.2KiB	1.0MiB
dbus-glib	796.1KiB	39	252.5MiB	11	72.4KiB	1.0MiB
python-xkbcommon	233.1KiB	33	330.5MiB	1	233.1KiB	1.0MiB
gobject-introspection-runtime	855.3KiB	16	217.3MiB	25	34.2KiB	1.0MiB
dnsmasq	824.1KiB	42	238.2MiB	0	0.0	1.0MiB
vde2	826.4KiB	37	236.0MiB	2	413.2KiB	1.0MiB
libbpf	699.3KiB	53	282.5MiB	2	349.7KiB	1.0MiB
libvncserver	690.0KiB	47	281.2MiB	1	690.0KiB	1.0MiB
libupnp	995.4KiB	5	60.4MiB	1	995.4KiB	1.0MiB
glib-networking	588.4KiB	55	306.3MiB	141	4.2KiB	1.0MiB
libdrm	993.9KiB	6	60.5MiB	221	4.5KiB	1.0MiB
totem-pl-parser	594.6KiB	30	299.4MiB	2	297.3KiB	1.0MiB
p11-kit	716.6KiB	39	268.5MiB	398	1.8KiB	1.0MiB
libmatroska	743.1KiB	7	184.2MiB	1	743.1KiB	1.0MiB
speedtest-cli	184.2KiB	31	276.1MiB	0	0.0	1.0MiB
pinentry	563.5KiB	59	302.9MiB	37	15.2KiB	1.0MiB
liblrdf	50.0KiB	55	332.6MiB	2	25.0KiB	1022.7KiB
jq	690.2KiB	6	61.0MiB	1	690.2KiB	1020.8KiB
grep	826.9KiB	12	200.8MiB	10	82.7KiB	998.9KiB
python-distro	149.6KiB	31	276.1MiB	1	149.6KiB	992.1KiB
libao	199.5KiB	96	368.5MiB	2	99.8KiB	984.1KiB
cpio	938.5KiB	5	60.4MiB	2	469.2KiB	981.0KiB
neon	658.3KiB	45	271.9MiB	6	109.7KiB	978.5KiB
luajit	821.7KiB	6	184.0MiB	8	102.7KiB	973.0KiB
ndctl	744.7KiB	36	232.5MiB	22	33.8KiB	972.9KiB
gptfdisk	809.3KiB	9	189.1MiB	20	40.5KiB	966.4KiB
webrtc-audio-processing	814.0KiB	6	184.0MiB	25	32.6KiB	965.3KiB
python-beaker	480.8KiB	25	271.8MiB	2	240.4KiB	960.0KiB
cracklib	909.3KiB	6	60.7MiB	7	129.9KiB	952.2KiB
libxklavier	370.8KiB	30	307.7MiB	9	41.2KiB	950.8KiB
gdbm	783.4KiB	9	196.8MiB	593	1.3KiB	947.1KiB
python-html2text	97.8KiB	31	276.0MiB	1	97.8KiB	940.2KiB
hunspell	784.4KiB	8	188.6MiB	4	196.1KiB	940.1KiB
perl-libwww	344.1KiB	30	263.5MiB	3	114.7KiB	939.9KiB
util-linux-libs	936.4KiB	0	936.4KiB	756	1.2KiB	936.4KiB
python-attrs	456.5KiB	25	271.8MiB	2	228.3KiB	935.8KiB
gom	687.0KiB	17	224.6MiB	1	687.0KiB	928.6KiB
python-jeepney	442.0KiB	25	271.8MiB	1	442.0KiB	921.2KiB
gc	765.4KiB	6	184.0MiB	11	69.6KiB	916.8KiB
libgdm	644.3KiB	37	251.0MiB	4	161.1KiB	914.6KiB
python-iwlib	80.2KiB	29	274.5MiB	0	0.0	912.6KiB
serf	173.9KiB	47	293.1MiB	1	173.9KiB	905.1KiB
gssdp	238.2KiB	62	369.7MiB	5	47.6KiB	904.2KiB
nspr	738.1KiB	9	196.8MiB	78	9.5KiB	901.7KiB
nlohmann-json	893.4KiB	0	893.4KiB	1	893.4KiB	893.4KiB
qrupdate	101.6KiB	8	190.8MiB	1	101.6KiB	889.9KiB
python-cairo	258.7KiB	45	321.9MiB	7	37.0KiB	887.4KiB
readline	731.4KiB	7	187.9MiB	1074	697.4	886.5KiB
libmng	687.8KiB	16	206.3MiB	5	137.6KiB	880.8KiB
libisofs	784.2KiB	10	79.8MiB	4	196.0KiB	870.9KiB
python-pyxdg	390.2KiB	25	271.7MiB	0	0.0	869.4KiB
libnumbertext	714.8KiB	6	183.9MiB	2	357.4KiB	866.1KiB
oniguruma	864.3KiB	0	864.3KiB	3	288.1KiB	864.3KiB
libldap	677.7KiB	13	210.4MiB	651	1.0KiB	861.7KiB
lcms2	669.3KiB	15	205.6MiB	181	3.7KiB	858.7KiB
libpcap	618.9KiB	36	235.2MiB	254	2.4KiB	855.1KiB
gnome-menus	643.9KiB	16	217.1MiB	2	321.9KiB	854.9KiB
xcb-proto	844.7KiB	0	844.7KiB	371	2.3KiB	844.7KiB
libfido2	467.0KiB	35	231.9MiB	0	0.0	841.0KiB
libgusb	568.2KiB	38	251.1MiB	7	81.2KiB	839.4KiB
graphite	683.0KiB	6	183.9MiB	273	2.5KiB	834.4KiB
libstemmer	790.6KiB	5	60.2MiB	125	6.3KiB	833.1KiB
python-pexpect	317.0KiB	26	271.7MiB	1	317.0KiB	828.2KiB
python-ruamel.yaml.clib	348.0KiB	25	271.7MiB	1	348.0KiB	827.2KiB
python-apsw	314.3KiB	26	279.1MiB	1	314.3KiB	824.1KiB
python-xapp	106.3KiB	26	273.5MiB	1	106.3KiB	822.4KiB
sed	735.8KiB	9	79.4MiB	8	92.0KiB	822.1KiB
